feature,spearman_rho,p_value,fdr_significant,mutual_info
week,-0.3621577486204263,3.2541380269555873e-83,True,0.2191501184980298
ghi_max_w0,0.3197947938045951,2.7438004231711974e-64,True,0.20005487910224828
dewpt_min_l1,0.3186705390427434,8.749706621312855e-59,True,0.20025302160221226
dewpt_mean_l1,0.3186705390427434,8.749706621312855e-59,True,0.19114707897486194
dewpt_max_l1,0.31498843799528875,2.0976249562233886e-57,True,0.18368278710017205
dhi_max_w0,0.29790595194691505,1.2408827583807441e-55,True,0.14251793749602726
ghi_mean_w0,0.25914543641724497,4.623655316537578e-42,True,0.24011113846649712
dhi_mean_w0,0.2554242648342881,7.149592426354208e-41,True,0.23686107536191692
temp_mean_l1,0.26571450046140344,9.340079592763408e-41,True,0.20621523320943203
ghi_max_l2,0.275312940898688,4.652845648147263e-40,True,0.17136551655027232
temp_max_l1,0.26174484288293026,1.477855972349101e-39,True,0.204432522973514
dewpt_max_w0,0.23447865248683364,1.5490283462553997e-34,True,0.21415823042436477
temp_min_l1,0.24169138795861786,8.274513014899508e-34,True,0.1659681976074574
dhi_max_l2,0.252010106263817,1.2388118362536976e-33,True,0.1411724582018976
dewpt_min_w0,0.22824183698181064,9.137869806095727e-33,True,0.2249213270574748
dewpt_mean_w0,0.22824183698181064,9.137869806095727e-33,True,0.21490132879535806
ghi_min_w0,0.22367306550744898,1.6782239165468114e-31,True,0.2054981285149471
ghi_mean_l2,0.2432133628397116,2.25187006232892e-31,True,0.14837099291551992
dhi_min_w0,0.21689922590841568,1.1161071163721656e-29,True,0.1626768152119833
ghi_max_l1,0.21852975307244443,8.467877634413658e-28,True,0.1437344685434152
dni_max_w0,0.20769868256405752,2.6704033867197764e-27,True,0.19130246619487767
dhi_max_l1,0.21520053332869313,5.4638495621567074e-27,True,0.10536449032532946
dhi_mean_l2,0.22433681068602013,7.985028969493348e-27,True,0.18249672581530607
dni_mean_w0,0.20383548709538837,2.4684415806648484e-26,True,0.24209094439223655
solar_rad_std_w0,0.19431849075021457,4.890149394179973e-24,True,0.20619157850247638
temp_mean_w0,0.19379487059099468,6.491006581069537e-24,True,0.22550640420556944
ghi_min_l2,0.21048748340063075,9.688686923073992e-24,True,0.16668686783603026
dni_min_w0,0.19241186200496388,1.3660586342969687e-23,True,0.1459826983596635
vpd_min_l2,-0.20959742612427626,1.50393054261373e-23,True,0.2074870187725888
ghi_mean_l1,0.1972148681990155,7.610367644647036e-23,True,0.22913517162052455
dhi_min_l2,0.20611946324509037,8.224683252913855e-23,True,0.1751268985654133
temp_max_w0,0.1790348258876236,1.3661815479479937e-20,True,0.18769121721640447
temp_max_l2,0.1938950273661062,2.537814327814887e-20,True,0.18728309706167678
dni_mean_l2,0.1935272766241017,2.998132298120815e-20,True,0.1678571156235198
temp_mean_l2,0.1911754648524334,8.637222231317122e-20,True,0.171601330326135
dni_max_l2,0.18936255745853853,1.9344785234370266e-19,True,0.1710111669386951
dni_min_l2,0.18093677014609136,7.383363565225789e-18,True,0.1161263911535999
wind_spd_mean_w0,0.1643784678379703,1.458969595851958e-17,True,0.19030506420530435
dewpt_mean_l2,0.17898907634330302,1.671806829515025e-17,True,0.1969405432819138
dewpt_min_l2,0.17898907634330302,1.671806829515025e-17,True,0.1784156537128203
dewpt_std_l1,0.1707354633239279,1.944959506572893e-17,True,0.15931875227759362
temp_min_w0,0.16340148344966335,2.2721149420169265e-17,True,0.14650889484107865
dewpt_max_l2,0.17763988843723505,2.928930402872062e-17,True,0.185459981364398
dni_max_l1,0.16715312842700455,9.084926219377484e-17,True,0.1267324824599898
wind_spd_mean_l2,0.17309421883364076,1.875512646549228e-16,True,0.1502938978722761
rh_max_l2,0.17139328994057315,3.709442574622373e-16,True,0.18794708907478763
wind_spd_mean_l1,0.1636992037507106,3.8895227025502135e-16,True,0.19225932622223962
wind_spd_min_w0,0.1566351172804689,4.534601149469812e-16,True,0.18518059339039206
ghi_min_l1,0.16026932556250134,1.5983869016746122e-15,True,0.16206626958264403
wind_spd_max_w0,0.1536914390215838,1.6017556446060364e-15,True,0.1769100298161952
dhi_mean_l1,0.1593727473331095,2.301088050030042e-15,True,0.20522753619182343
vpd_max_l2,-0.16591373547168833,3.1841291045670338e-15,True,0.18456567291717474
wind_spd_min_l2,0.1644885720923767,5.5045525982895076e-15,True,0.13537906372235153
wind_spd_max_l2,0.1644885720923767,5.5045525982895076e-15,True,0.13301225952628815
rh_mean_l2,0.16358965522988184,7.755131952321838e-15,True,0.19480016867633032
dni_min_l1,0.15623353819954217,8.107326085810334e-15,True,0.1475847053250694
wind_spd_max_l1,0.1552488383157953,1.197171167443531e-14,True,0.17030380242447984
wind_spd_min_l1,0.1552488383157953,1.197171167443531e-14,True,0.1865612513284145
dni_mean_l1,0.15482274877739874,1.4160123375658477e-14,True,0.18451761537574818
rh_mean_l1,0.15367900741847013,2.2170307565379605e-14,True,0.21250143191173554
temp_min_l2,0.15958156067295562,3.4930627028373184e-14,True,0.12243390859953096
dhi_min_l1,0.15244409429855685,3.583849781858982e-14,True,0.12947342725837574
vpd_mean_l2,-0.1585789185659691,5.059692185103253e-14,True,0.18923763678067007
rh_max_l1,0.14755062688060575,2.312543826590495e-13,True,0.15874503670744877
pres_min_l2,-0.1541269988236556,2.5478158116454625e-13,True,0.139124293000791
rh_min_l2,0.13917923554627296,4.127502804447897e-11,True,0.1887602878035406
pres_max_l2,-0.13295031057572812,2.9504791845441077e-10,True,0.15647934173387146
wind_spd_std_l2,-0.13138690611883652,4.766476602635519e-10,True,0.09827115682383658
pres_mean_l2,-0.13115389343803757,5.117229321630477e-10,True,0.18398998094382146
rh_min_l1,0.12522022620599813,5.281117542037658e-10,True,0.16342373911768138
vpd_min_l1,-0.12324141189095676,9.86301434150175e-10,True,0.2057176538928025
solar_rad_std_l1,0.12261239168404914,1.200478533932368e-09,True,0.1676772510760216
